degree,activation_uniform_error,multiplicative_depth,test_accuracy_polynomial,test_accuracy_simulated_ckks,prediction_agreement_with_relu,certified_fraction_all_nodes,certified_fraction_test_nodes,theoretical_logit_error_bound,measured_max_logit_error,all_certified_nodes_invariant
2,0.5421610169993603,1,0.9907407407407407,0.9907407407407407,0.9972222222222222,0.8222222222222222,0.7592592592592593,4.3704558145162276,2.1258788990581445,True
3,0.5421610169993611,2,0.9907407407407407,0.9907407407407407,0.9972222222222222,0.8222222222222222,0.7592592592592593,4.370455814516235,2.123141197824747,True
5,0.3388506144499597,3,0.9907407407407407,0.9907407407407407,0.9972222222222222,0.9555555555555556,0.9351851851851852,2.7363557873431033,1.1705313728637634,True
7,0.24707855073444085,3,0.9907407407407407,0.9907407407407407,0.9972222222222222,0.9833333333333333,0.9722222222222222,1.998741135407994,0.7621800396669167,True
9,0.19457433573660432,4,0.9907407407407407,0.9907407407407407,0.9972222222222222,0.9888888888888889,0.9722222222222222,1.5767404011670534,0.526306226648634,True
