path,encrypt_ms_median,server_ms_median,decrypt_ms_median,upload_bytes_median,output_bytes_median,rss_delta_bytes_median,input_ciphertext_vectors,graph_he_matvec_calls,quality_max_abs_logit_error,quality_mean_abs_logit_error,quality_test_accuracy,quality_prediction_agreement_with_plaintext
KGC,2108.300832748413,9690.614208221436,27.911375045776367,416831434,4215160,0,102,0,2.062405732550232e-05,7.587199841720913e-06,0.9,1.0
SK-HE,697.2711238861084,56055.13904094696,9.637290954589844,138939920,1839464,414679040,34,68,4.1160640935400394e-05,1.5480303392256587e-05,0.9,1.0
