degree,activation_uniform_error,multiplicative_depth,test_accuracy_polynomial,test_accuracy_simulated_ckks,prediction_agreement_with_relu,certified_fraction_all_nodes,certified_fraction_test_nodes,theoretical_logit_error_bound,measured_max_logit_error,all_certified_nodes_invariant
2,0.4998966569352792,1,0.9537037037037037,0.9537037037037037,0.9722222222222222,0.3194444444444444,0.25925925925925924,3.25408153144309,1.368302837677302,True
3,0.49989665693528007,2,0.9537037037037037,0.9537037037037037,0.9722222222222222,0.3194444444444444,0.25925925925925924,3.254081531443096,1.3696231684035698,True
5,0.31243539106058726,3,0.9907407407407407,0.9907407407407407,0.9944444444444445,0.5805555555555556,0.5555555555555556,2.0377505773063143,0.7961436480175115,True
7,0.22781745208491588,3,0.9907407407407407,0.9907407407407407,0.9944444444444445,0.75,0.6666666666666666,1.4887122574639375,0.5310620813189086,True
9,0.17940622234048553,4,0.9907407407407407,0.9907407407407407,0.9944444444444445,0.8722222222222222,0.8333333333333334,1.174598955224004,0.36953028948890465,True
