K,measured_relative_mean_zero_norm,rho_power_bound,ramanujan_power_bound
1,0.39944723457679976,0.7364200532935301,0.7453559924999299
2,0.21308694489994734,0.5423144948928458,0.5555555555555556
3,0.12586342079313706,0.3993712692308433,0.41408666249996107
4,0.07846743574667023,0.2941050113708824,0.30864197530864196
5,0.05055005690010393,0.2165848281476395,0.2300481458333117
6,0.03326723566638417,0.15949741068705472,0.17146776406035666
7,0.02221577356662886,0.11745709167834091,0.12780452546295093
8,0.014992486672796798,0.08649775771346686,0.09525986892242036
9,0.010198176123735693,0.06369868334512212,0.07100251414608386
10,0.006980166707048576,0.04690898778374253,0.05292214940134465
11,0.004801768035332617,0.03454471928364923,0.03944584119226881
12,0.0033172548209908525,0.025439424015875,0.029401194111858136
