K,measured_relative_mean_zero_norm,rho_power_bound,ramanujan_power_bound
1,0.3942123839489505,0.7364200532935301,0.7453559924999299
2,0.2112495785028973,0.5423144948928458,0.5555555555555556
3,0.12486450429555697,0.3993712692308433,0.41408666249996107
4,0.07770330940028447,0.2941050113708824,0.30864197530864196
5,0.04993183208593786,0.2165848281476395,0.2300481458333117
6,0.03279239714375247,0.15949741068705472,0.17146776406035666
7,0.02187570036497672,0.11745709167834091,0.12780452546295093
8,0.01476577980738739,0.08649775771346686,0.09525986892242036
9,0.010058547633367595,0.06369868334512212,0.07100251414608386
10,0.0069027288273158975,0.04690898778374253,0.05292214940134465
11,0.004765968894737696,0.03454471928364923,0.03944584119226881
12,0.0033075447841461473,0.025439424015875,0.029401194111858136
