degree,activation_uniform_error,multiplicative_depth,test_accuracy_polynomial,test_accuracy_simulated_ckks,prediction_agreement_with_relu,certified_fraction_all_nodes,certified_fraction_test_nodes,theoretical_logit_error_bound,measured_max_logit_error,all_certified_nodes_invariant
2,0.6023060651903915,1,0.9537037037037037,0.9537037037037037,0.9805555555555555,0.1361111111111111,0.09259259259259259,4.917787035743875,1.6925192708179124,True
3,0.6023060651903915,2,0.9537037037037037,0.9537037037037037,0.9805555555555555,0.1361111111111111,0.09259259259259259,4.917787035743875,1.696113037970715,True
5,0.3764412672203308,3,0.9444444444444444,0.9444444444444444,0.9833333333333333,0.4388888888888889,0.4722222222222222,3.078497324237726,1.1805334338330005,True
7,0.274488399238749,3,0.9537037037037037,0.9537037037037037,0.9944444444444445,0.6166666666666667,0.6203703703703703,2.248262321606087,0.8399325751341409,True
9,0.21615958888590892,4,0.9537037037037037,0.9537037037037037,0.9972222222222222,0.7277777777777777,0.75,1.7732720542843372,0.6015472584566797,True
