degree,activation_uniform_error,multiplicative_depth,test_accuracy_polynomial,test_accuracy_simulated_ckks,prediction_agreement_with_relu,certified_fraction_all_nodes,certified_fraction_test_nodes,theoretical_logit_error_bound,measured_max_logit_error,all_certified_nodes_invariant
2,0.3194374902857188,1,0.9537037037037037,0.9537037037037037,0.9805555555555555,0.15833333333333333,0.19444444444444445,2.0137364237641475,0.7236925305924782,True
3,0.3194374902857188,2,0.9537037037037037,0.9537037037037037,0.9805555555555555,0.15833333333333333,0.19444444444444445,2.0137364237641475,0.7229767659919271,True
5,0.19964841895262642,3,0.9629629629629629,0.9629629629629629,0.9888888888888889,0.5305555555555556,0.5092592592592593,1.2624132154951597,0.44097596892768864,True
7,0.1455769590127729,3,0.9722222222222222,0.9722222222222222,0.9916666666666667,0.7416666666666667,0.75,0.9232742414160121,0.3104036088428015,True
9,0.11464184169070513,4,0.9722222222222222,0.9722222222222222,0.9916666666666667,0.8083333333333333,0.8148148148148148,0.7292475966149626,0.22089660162911717,True
