degree,activation_uniform_error,multiplicative_depth,test_accuracy_polynomial,test_accuracy_simulated_ckks,prediction_agreement_with_relu,certified_fraction_all_nodes,certified_fraction_test_nodes,theoretical_logit_error_bound,measured_max_logit_error,all_certified_nodes_invariant
2,0.3662272347762823,1,0.9629629629629629,0.9629629629629629,0.9944444444444445,0.4305555555555556,0.4074074074074074,2.4392070936358805,0.8917369144516645,True
3,0.36622723477628283,2,0.9629629629629629,0.9629629629629629,0.9944444444444445,0.4305555555555556,0.4074074074074074,2.439207093635884,0.8897764127957842,True
5,0.2288920074318066,3,0.9629629629629629,0.9629629629629629,0.9944444444444445,0.7166666666666667,0.7222222222222222,1.5285342881076212,0.5565053061408543,True
7,0.16690040702080178,3,0.9629629629629629,0.9629629629629629,0.9972222222222222,0.85,0.8518518518518519,1.1174666708831362,0.3633698561222496,True
9,0.1314340550149382,4,0.9629629629629629,0.9629629629629629,1.0,0.9027777777777778,0.9074074074074074,0.8822885384581655,0.2640443388425848,True
