K,measured_relative_mean_zero_norm,rho_power_bound,ramanujan_power_bound
1,0.40777942431916714,0.7364200532935301,0.7453559924999299
2,0.22169945295367105,0.5423144948928458,0.5555555555555556
3,0.13169379712859394,0.3993712692308433,0.41408666249996107
4,0.0819148845355991,0.2941050113708824,0.30864197530864196
5,0.052433175749400956,0.2165848281476395,0.2300481458333117
6,0.03422766989726645,0.15949741068705472,0.17146776406035666
7,0.022666033813151902,0.11745709167834091,0.12780452546295093
8,0.015175590950092422,0.08649775771346686,0.09525986892242036
9,0.010249926664432462,0.06369868334512212,0.07100251414608386
10,0.006973230999170471,0.04690898778374253,0.05292214940134465
11,0.004773205958070896,0.03454471928364923,0.03944584119226881
12,0.00328472967037058,0.025439424015875,0.029401194111858136
