seed,relu_test,d2_acc,d2_cert,d3_acc,d3_cert,d5_acc,d5_cert,d7_acc,d7_cert,d9_acc,d9_cert
1,0.9722222089767456,0.9537037037037037,0.19444444444444445,0.9537037037037037,0.19444444444444445,0.9629629629629629,0.5092592592592593,0.9722222222222222,0.75,0.9722222222222222,0.8148148148148148
2,0.9629629850387573,0.9537037037037037,0.09259259259259259,0.9537037037037037,0.09259259259259259,0.9444444444444444,0.4722222222222222,0.9537037037037037,0.6203703703703703,0.9537037037037037,0.75
3,0.9907407164573669,0.9537037037037037,0.25925925925925924,0.9537037037037037,0.25925925925925924,0.9907407407407407,0.5555555555555556,0.9907407407407407,0.6666666666666666,0.9907407407407407,0.8333333333333334
4,0.9814814925193787,0.9537037037037037,0.4166666666666667,0.9537037037037037,0.4166666666666667,0.9722222222222222,0.5555555555555556,0.9722222222222222,0.6296296296296297,0.9814814814814815,0.6388888888888888
5,0.9629629850387573,0.9629629629629629,0.4074074074074074,0.9629629629629629,0.4074074074074074,0.9629629629629629,0.7222222222222222,0.9629629629629629,0.8518518518518519,0.9629629629629629,0.9074074074074074
6,0.9907407164573669,0.9907407407407407,0.7592592592592593,0.9907407407407407,0.7592592592592593,0.9907407407407407,0.9351851851851852,0.9907407407407407,0.9722222222222222,0.9907407407407407,0.9722222222222222
7,0.9444444179534912,0.9166666666666666,0.10185185185185185,0.9074074074074074,0.10185185185185185,0.9351851851851852,0.23148148148148148,0.9351851851851852,0.37962962962962965,0.9351851851851852,0.5
