degree,activation_uniform_error,multiplicative_depth,test_accuracy_polynomial,test_accuracy_simulated_ckks,prediction_agreement_with_relu,certified_fraction_all_nodes,certified_fraction_test_nodes,theoretical_logit_error_bound,measured_max_logit_error,all_certified_nodes_invariant
2,0.2336542939761711,1,0.9537037037037037,0.9537037037037037,0.9722222222222222,0.45555555555555555,0.4166666666666667,1.5045817947334688,0.6859533120685646,True
3,0.23365429397617143,2,0.9537037037037037,0.9537037037037037,0.9722222222222222,0.45555555555555555,0.4166666666666667,1.504581794733471,0.6878968277783873,True
5,0.14603392460950548,3,0.9722222222222222,0.9722222222222222,0.9888888888888889,0.5861111111111111,0.5555555555555556,0.9442606792927034,0.3561165161903127,True
7,0.10648306041631017,3,0.9722222222222222,0.9722222222222222,0.9944444444444445,0.6388888888888888,0.6296296296296297,0.691337934255652,0.22644547381460978,True
9,0.0838554001798929,4,0.9814814814814815,0.9814814814814815,1.0,0.6555555555555556,0.6388888888888888,0.5466369256302821,0.1709585063608559,True
