K,measured_relative_mean_zero_norm,rho_power_bound,ramanujan_power_bound
1,0.40436707331815575,0.7364200532935301,0.7453559924999299
2,0.21986135311377433,0.5423144948928458,0.5555555555555556
3,0.13082505032164313,0.3993712692308433,0.41408666249996107
4,0.08149383160344996,0.2941050113708824,0.30864197530864196
5,0.05222910325409434,0.2165848281476395,0.2300481458333117
6,0.034137398085163195,0.15949741068705472,0.17146776406035666
7,0.022638608179177032,0.11745709167834091,0.12780452546295093
8,0.015183026018105806,0.08649775771346686,0.09525986892242036
9,0.010275544182057722,0.06369868334512212,0.07100251414608386
10,0.007006714558516124,0.04690898778374253,0.05292214940134465
11,0.004808247385824374,0.03454471928364923,0.03944584119226881
12,0.003317697934130907,0.025439424015875,0.029401194111858136
